timestamp,zone,power_W,voltage_V,current_A,occupancy,temp_C,humidity_pct,pv_generation_W
2025-10-27T00:00:00,OpenOffice,307.45,229.72,1.338,0,22.65,47.62,0.0
2025-10-27T00:00:00,MeetingRoom,79.06,229.53,0.344,0,23.58,43.84,0.0
2025-10-27T00:00:00,ServerRoom,1464.79,231.09,6.339,0,19.54,37.67,0.0
2025-10-27T00:15:00,OpenOffice,303.63,226.17,1.342,0,20.28,37.19,0.0
2025-10-27T00:15:00,MeetingRoom,75.95,230.63,0.329,0,21.09,32.94,0.0
2025-10-27T00:15:00,ServerRoom,1623.96,229.55,7.075,0,20.07,32.88,0.0
2025-10-27T00:30:00,OpenOffice,291.83,230.22,1.268,0,20.85,41.88,0.0
2025-10-27T00:30:00,MeetingRoom,77.6,229.42,0.338,0,21.4,49.26,0.0
2025-10-27T00:30:00,ServerRoom,1525.08,227.88,6.692,0,20.82,33.9,0.0
2025-10-27T00:45:00,OpenOffice,303.13,226.08,1.341,0,20.67,40.98,0.0
2025-10-27T00:45:00,MeetingRoom,82.95,230.34,0.36,0,21.88,38.49,0.0
2025-10-27T00:45:00,ServerRoom,1425.24,228.56,6.236,0,19.54,45.29,0.0
2025-10-27T01:00:00,OpenOffice,305.15,226.47,1.347,0,22.32,38.07,0.0
2025-10-27T01:00:00,MeetingRoom,77.29,231.22,0.334,0,23.03,44.66,0.0
2025-10-27T01:00:00,ServerRoom,1486.65,229.38,6.481,0,20.33,44.88,0.0
2025-10-27T01:15:00,OpenOffice,292.81,229.63,1.275,0,20.89,34.02,0.0
2025-10-27T01:15:00,MeetingRoom,83.25,232.71,0.358,0,21.93,45.02,0.0
2025-10-27T01:15:00,ServerRoom,1592.57,228.71,6.963,0,20.36,47.69,0.0
2025-10-27T01:30:00,OpenOffice,299.46,233.13,1.285,0,19.38,44.11,0.0
2025-10-27T01:30:00,MeetingRoom,80.35,229.4,0.35,0,22.09,30.06,0.0
2025-10-27T01:30:00,ServerRoom,1559.22,230.71,6.758,0,21.48,37.41,0.0
2025-10-27T01:45:00,OpenOffice,287.87,229.0,1.257,0,22.92,41.64,0.0
2025-10-27T01:45:00,MeetingRoom,77.88,231.03,0.337,0,22.1,44.84,0.0
2025-10-27T01:45:00,ServerRoom,1532.7,229.34,6.683,0,19.61,32.68,0.0
2025-10-27T02:00:00,OpenOffice,304.44,230.52,1.321,0,22.01,38.83,0.0
2025-10-27T02:00:00,MeetingRoom,74.34,229.16,0.324,0,21.66,35.99,0.0
2025-10-27T02:00:00,ServerRoom,1587.1,230.81,6.876,0,21.89,40.87,0.0
2025-10-27T02:15:00,OpenOffice,303.86,229.85,1.322,0,20.08,39.87,0.0
2025-10-27T02:15:00,MeetingRoom,80.24,234.93,0.342,0,21.81,41.51,0.0
2025-10-27T02:15:00,ServerRoom,1608.32,227.66,7.064,0,21.14,43.76,0.0
2025-10-27T02:30:00,OpenOffice,311.87,228.18,1.367,0,23.4,32.99,0.0
2025-10-27T02:30:00,MeetingRoom,82.35,234.38,0.351,0,21.01,37.17,0.0
2025-10-27T02:30:00,ServerRoom,1629.83,228.99,7.117,0,18.45,40.34,0.0
2025-10-27T02:45:00,OpenOffice,284.07,230.95,1.23,0,21.08,47.75,0.0
2025-10-27T02:45:00,MeetingRoom,76.87,229.36,0.335,0,22.81,33.85,0.0
2025-10-27T02:45:00,ServerRoom,1650.43,232.61,7.095,0,18.39,40.92,0.0
2025-10-27T03:00:00,OpenOffice,303.9,231.56,1.312,0,20.76,33.4,0.0
2025-10-27T03:00:00,MeetingRoom,82.09,230.59,0.356,0,22.25,41.73,0.0
2025-10-27T03:00:00,ServerRoom,1585.61,230.46,6.88,0,20.29,36.43,0.0
2025-10-27T03:15:00,OpenOffice,327.99,230.95,1.42,0,20.81,43.28,0.0
2025-10-27T03:15:00,MeetingRoom,76.1,231.57,0.329,0,23.16,35.9,0.0
2025-10-27T03:15:00,ServerRoom,1729.86,230.83,7.494,0,20.82,49.48,0.0
2025-10-27T03:30:00,OpenOffice,296.32,228.49,1.297,0,21.11,35.92,0.0
2025-10-27T03:30:00,MeetingRoom,79.69,230.68,0.345,0,22.28,44.14,0.0
2025-10-27T03:30:00,ServerRoom,1659.75,232.91,7.126,0,19.74,53.6,0.0
2025-10-27T03:45:00,OpenOffice,309.39,228.29,1.355,0,20.93,42.41,0.0
2025-10-27T03:45:00,MeetingRoom,79.11,231.43,0.342,0,22.47,39.64,0.0
2025-10-27T03:45:00,ServerRoom,1595.74,226.97,7.031,0,19.55,44.28,0.0
2025-10-27T04:00:00,OpenOffice,303.21,227.51,1.333,0,22.17,41.93,0.0
2025-10-27T04:00:00,MeetingRoom,76.46,230.31,0.332,0,22.06,34.29,0.0
2025-10-27T04:00:00,ServerRoom,1703.14,231.12,7.369,0,21.08,45.27,0.0
2025-10-27T04:15:00,OpenOffice,279.33,228.12,1.224,0,22.52,42.57,0.0
2025-10-27T04:15:00,MeetingRoom,82.06,237.71,0.345,0,22.57,45.68,0.0
2025-10-27T04:15:00,ServerRoom,1759.48,231.3,7.607,0,19.68,43.79,0.0
2025-10-27T04:30:00,OpenOffice,288.41,229.53,1.257,0,21.51,40.41,0.0
2025-10-27T04:30:00,MeetingRoom,89.26,226.27,0.394,0,22.69,31.94,0.0
2025-10-27T04:30:00,ServerRoom,1645.02,232.18,7.085,0,20.06,34.61,0.0
2025-10-27T04:45:00,OpenOffice,289.27,231.36,1.25,0,21.27,41.08,0.0
2025-10-27T04:45:00,MeetingRoom,80.18,228.7,0.351,0,24.14,43.17,0.0
2025-10-27T04:45:00,ServerRoom,1518.32,230.37,6.591,0,19.34,44.26,0.0
2025-10-27T05:00:00,OpenOffice,288.11,229.77,1.254,0,22.5,44.33,0.0
2025-10-27T05:00:00,MeetingRoom,75.2,229.33,0.328,0,21.53,36.73,0.0
2025-10-27T05:00:00,ServerRoom,1842.65,230.81,7.983,0,18.74,44.59,0.0
2025-10-27T05:15:00,OpenOffice,331.83,232.06,1.43,0,20.48,37.58,0.0
2025-10-27T05:15:00,MeetingRoom,85.07,228.58,0.372,0,22.44,43.87,0.0
2025-10-27T05:15:00,ServerRoom,1617.55,229.88,7.036,0,16.76,34.88,0.0
2025-10-27T05:30:00,OpenOffice,296.21,227.5,1.302,0,23.63,32.85,0.0
2025-10-27T05:30:00,MeetingRoom,78.24,230.26,0.34,0,23.44,32.82,0.0
2025-10-27T05:30:00,ServerRoom,1797.06,230.02,7.813,0,19.02,42.31,0.0
2025-10-27T05:45:00,OpenOffice,302.99,228.8,1.324,0,22.07,38.07,0.0
2025-10-27T05:45:00,MeetingRoom,80.45,231.32,0.348,0,23.59,33.81,0.0
